Module                  Size  Used by
snd_soc_acpi           16384  5 snd_sof_amd_acp,snd_acp_legacy_common,snd_acp_config,snd_amd_acpi_mach,snd_pci_ps
snd                   155648  24 snd_ctl_led,snd_hda_codec_generic,snd_seq,snd_seq_device,snd_hda_codec_hdmi,snd_hwdep,snd_hda_intel,snd_hda_codec,snd_hda_codec_realtek,snd_sof,snd_timer,snd_compress,snd_soc_core,snd_pcm
snd_pci_acp3x          20480  0
rfkill                 45056  10 rtw89_core,bluetooth,ideapad_laptop,cfg80211
soundcore              12288  2 snd_ctl_led,snd
joydev                 36864  0
loop                   49152  0
zram                   73728  1
lz4hc_compress         20480  1 zram
lz4_compress           24576  1 zram
amdgpu              20697088  7
hid_logitech_hidpp     81920  0
amdxcp                 12288  1 amdgpu
i2c_algo_bit           20480  1 amdgpu
drm_ttm_helper         16384  1 amdgpu
ttm                   135168  2 amdgpu,drm_ttm_helper
drm_exec               12288  1 amdgpu
gpu_sched              65536  1 amdgpu
drm_suballoc_helper    20480  1 amdgpu
drm_panel_backlight_quirks    12288  1 amdgpu
drm_buddy              32768  1 amdgpu
nvme                   73728  2
sdhci_pci             114688  0
drm_display_helper    327680  1 amdgpu
ucsi_acpi              12288  0
sdhci_uhs2             40960  1 sdhci_pci
nvme_core             274432  3 nvme
typec_ucsi             77824  1 ucsi_acpi
sdhci                 110592  2 sdhci_uhs2,sdhci_pci
typec                 118784  1 typec_ucsi
polyval_clmulni        12288  0
video                  81920  2 amdgpu,ideapad_laptop
cqhci                  40960  1 sdhci_pci
ghash_clmulni_intel    12288  0
nvme_keyring           20480  1 nvme_core
hid_multitouch         36864  0
sha512_ssse3           49152  0
thunderbolt           602112  1 typec
sha1_ssse3             32768  0
mmc_core              303104  4 sdhci_uhs2,sdhci,cqhci,sdhci_pci
sp5100_tco             20480  0
cec                   106496  2 drm_display_helper,amdgpu
nvme_auth              32768  1 nvme_core
i2c_hid_acpi           12288  0
wmi                    32768  5 video,lenovo_wmi_hotkey_utilities,wmi_bmof,ideapad_laptop,think_lmi
i2c_hid                49152  1 i2c_hid_acpi
hid_logitech_dj        45056  0
serio_raw              20480  0
sunrpc                921600  1
iscsi_tcp              28672  0
libiscsi_tcp           40960  1 iscsi_tcp
libiscsi               94208  2 libiscsi_tcp,iscsi_tcp
scsi_transport_iscsi   192512  3 libiscsi_tcp,iscsi_tcp,libiscsi
i2c_dev                28672  0
fuse                  282624  3
nfnetlink              20480  3 nf_tables
