Module                  Size  Used by
i2c_smbus              16384  1 i2c_piix4
pcspkr                 12288  0
amd_pmc                53248  0
wmi_bmof               12288  0
acpi_tad               16384  0
overlay               221184  1
squashfs               90112  1
isofs                  61440  1
ucsi_acpi              12288  0
nvme                   65536  1
typec_ucsi             69632  1 ucsi_acpi
nvme_core             225280  2 nvme
hid_multitouch         36864  0
r8169                 131072  0
typec                 102400  1 typec_ucsi
uas                    32768  0
ghash_clmulni_intel    12288  0
usb_storage            86016  2 uas
serio_raw              16384  0
video                  73728  2 thinkpad_acpi,amdgpu
nvme_keyring           16384  1 nvme_core
i2c_hid_acpi           12288  0
nvme_auth              28672  1 nvme_core
i2c_hid                40960  1 i2c_hid_acpi
realtek                49152  1
hkdf                   16384  1 nvme_auth
thunderbolt           520192  1 typec
sp5100_tco             16384  0
wmi                    24576  3 video,wmi_bmof,think_lmi
sunrpc                749568  1
be2iscsi              192512  0
bnx2i                  81920  0
cnic                   86016  1 bnx2i
uio                    28672  1 cnic
cxgb4i                 57344  0
cxgb4                 696320  1 cxgb4i
tls                   155648  1 cxgb4
cxgb3i                 40960  0
cxgb3                 233472  1 cxgb3i
mdio                   12288  1 cxgb3
libcxgbi               90112  2 cxgb4i,cxgb3i
libcxgb                28672  2 libcxgbi,cxgb3i
qla4xxx               409600  0
iscsi_boot_sysfs       16384  2 be2iscsi,qla4xxx
iscsi_tcp              24576  0
libiscsi_tcp           36864  4 libcxgbi,iscsi_tcp,cxgb4i,cxgb3i
libiscsi               81920  8 be2iscsi,libiscsi_tcp,bnx2i,libcxgbi,iscsi_tcp,qla4xxx,cxgb4i,cxgb3i
scsi_transport_iscsi   131072  7 be2iscsi,libiscsi_tcp,bnx2i,libcxgbi,iscsi_tcp,qla4xxx,libiscsi
loop                   40960  2
