Module                  Size  Used by
snd                   155648  51 snd_ctl_led,snd_hda_codec_generic,snd_seq,snd_hda_codec_conexant,snd_seq_device,snd_hda_codec_hdmi,snd_hwdep,snd_hda_intel,snd_hda_codec,snd_sof,snd_timer,snd_compress,thinkpad_acpi,snd_soc_core,snd_pcm
i2c_piix4              40960  0
realtek                53248  1
rfkill                 45056  10 mt7921e,bluetooth,thinkpad_acpi,cfg80211
i2c_smbus              20480  1 i2c_piix4
k10temp                16384  0
soundcore              12288  2 snd_ctl_led,snd
joydev                 36864  0
amd_pmc                57344  0
acpi_tad               20480  0
loop                   49152  0
nfnetlink              20480  3 nf_tables
zram                   73728  1
lz4hc_compress         20480  1 zram
lz4_compress           24576  1 zram
amdgpu              20701184  7
amdxcp                 12288  1 amdgpu
i2c_algo_bit           20480  1 amdgpu
drm_ttm_helper         16384  1 amdgpu
ttm                   135168  2 amdgpu,drm_ttm_helper
drm_exec               12288  1 amdgpu
gpu_sched              65536  1 amdgpu
drm_suballoc_helper    20480  1 amdgpu
nvme                   73728  2
drm_panel_backlight_quirks    12288  1 amdgpu
drm_buddy              32768  1 amdgpu
ucsi_acpi              12288  0
nvme_core             274432  3 nvme
drm_display_helper    327680  1 amdgpu
typec_ucsi             77824  1 ucsi_acpi
polyval_clmulni        12288  0
typec                 118784  1 typec_ucsi
ghash_clmulni_intel    12288  0
video                  81920  2 thinkpad_acpi,amdgpu
hid_multitouch         36864  0
sha512_ssse3           49152  0
nvme_keyring           20480  1 nvme_core
sha1_ssse3             32768  0
cec                   106496  2 drm_display_helper,amdgpu
thunderbolt           602112  1 typec
sp5100_tco             20480  0
nvme_auth              32768  1 nvme_core
i2c_hid_acpi           12288  0
wmi                    32768  3 video,wmi_bmof,think_lmi
i2c_hid                49152  1 i2c_hid_acpi
serio_raw              20480  0
i2c_dev                28672  0
fuse                  282624  3
