key,d,nn,md,method,param,umap_secs,accepted,n_clusters,noise_ratio,silhouette,adjusted,n_scored
d02_nn015_md0p0,2,15,0.0,dbscan,ms15_eps0.34,1.9,True,47,0.0088,0.0494,0.0489,16545
d02_nn015_md0p0,2,15,0.0,hdbscan,mcs15,1.9,True,184,0.2566,0.1608,0.1195,12408
d02_nn015_md0p1,2,15,0.1,dbscan,ms15_eps0.34,1.7,True,40,0.0071,0.0507,0.0503,16573
d02_nn015_md0p1,2,15,0.1,hdbscan,mcs15,1.7,True,183,0.3055,0.1732,0.1203,11592
d02_nn030_md0p0,2,30,0.0,dbscan,ms15_eps0.34,2.0,True,29,0.0059,0.0714,0.071,16593
d02_nn030_md0p0,2,30,0.0,hdbscan,mcs15,2.0,True,159,0.2531,0.1587,0.1185,12468
d02_nn030_md0p1,2,30,0.1,dbscan,ms15_eps0.34,2.4,True,24,0.005,0.0631,0.0628,16608
d02_nn030_md0p1,2,30,0.1,hdbscan,mcs15,2.4,True,168,0.2756,0.1643,0.119,12091
d04_nn015_md0p0,4,15,0.0,dbscan,ms15_eps0.38,1.6,True,54,0.0264,0.0388,0.0378,16251
d04_nn015_md0p0,4,15,0.0,hdbscan,mcs15,1.6,True,211,0.2919,0.1835,0.1299,11819
d04_nn015_md0p1,4,15,0.1,dbscan,ms15_eps0.38,2.5,True,56,0.0425,0.0435,0.0416,15983
d04_nn015_md0p1,4,15,0.1,hdbscan,mcs15,2.5,True,199,0.3428,0.1986,0.1305,10970
d04_nn030_md0p0,4,30,0.0,dbscan,ms15_eps0.38,2.1,True,36,0.0189,0.0469,0.046,16377
d04_nn030_md0p0,4,30,0.0,hdbscan,mcs15,2.1,True,167,0.3218,0.1913,0.1297,11321
d04_nn030_md0p1,4,30,0.1,dbscan,ms15_eps0.38,2.5,True,32,0.0294,0.0495,0.0481,16202
d04_nn030_md0p1,4,30,0.1,hdbscan,mcs15,2.5,True,173,0.3699,0.208,0.1311,10517
d08_nn015_md0p0,8,15,0.0,dbscan,ms15_eps0.46,2.4,True,40,0.0167,0.0448,0.0441,16414
d08_nn015_md0p0,8,15,0.0,hdbscan,mcs15,2.4,True,213,0.3079,0.1268,0.0877,11552
d08_nn015_md0p1,8,15,0.1,dbscan,ms15_eps0.46,3.7,True,39,0.0225,0.0476,0.0465,16317
d08_nn015_md0p1,8,15,0.1,hdbscan,mcs15,3.7,True,194,0.3163,0.1879,0.1284,11413
d08_nn030_md0p0,8,30,0.0,dbscan,ms15_eps0.46,2.7,True,28,0.014,0.0668,0.0659,16459
d08_nn030_md0p0,8,30,0.0,hdbscan,mcs15,2.7,True,169,0.3167,0.1919,0.1311,11405
d08_nn030_md0p1,8,30,0.1,dbscan,ms15_eps0.46,2.5,True,28,0.0175,0.0686,0.0674,16400
d08_nn030_md0p1,8,30,0.1,hdbscan,mcs15,2.5,True,175,0.361,0.2063,0.1318,10666
d12_nn015_md0p0,12,15,0.0,dbscan,ms15_eps0.54,2.4,True,30,0.0093,0.0545,0.054,16537
d12_nn015_md0p0,12,15,0.0,hdbscan,mcs15,2.4,True,212,0.2926,0.1868,0.1321,11808
d12_nn015_md0p1,12,15,0.1,dbscan,ms15_eps0.54,1.7,True,31,0.0147,0.0638,0.0628,16447
d12_nn015_md0p1,12,15,0.1,hdbscan,mcs15,1.7,True,201,0.3524,0.137,0.0887,10809
d12_nn030_md0p0,12,30,0.0,dbscan,ms15_eps0.54,2.4,True,25,0.0087,0.0692,0.0686,16546
d12_nn030_md0p0,12,30,0.0,hdbscan,mcs15,2.4,True,166,0.3304,0.1973,0.1321,11177
d12_nn030_md0p1,12,30,0.1,dbscan,ms15_eps0.54,3.0,True,23,0.0092,0.0599,0.0594,16539
d12_nn030_md0p1,12,30,0.1,hdbscan,mcs15,3.0,True,167,0.3652,0.2091,0.1327,10596
d16_nn015_md0p0,16,15,0.0,dbscan,ms15_eps0.62,2.8,True,29,0.0077,0.0564,0.0559,16564
d16_nn015_md0p0,16,15,0.0,hdbscan,mcs15,2.8,True,208,0.2937,0.186,0.1314,11789
d16_nn015_md0p1,16,15,0.1,dbscan,ms15_eps0.62,2.9,True,27,0.0083,0.0608,0.0603,16553
d16_nn015_md0p1,16,15,0.1,hdbscan,mcs15,2.9,True,196,0.3156,0.1891,0.1294,11424
d16_nn030_md0p0,16,30,0.0,dbscan,ms15_eps0.62,2.8,True,23,0.0055,0.0598,0.0595,16601
d16_nn030_md0p0,16,30,0.0,hdbscan,mcs15,2.8,True,175,0.3255,0.196,0.1322,11259
d16_nn030_md0p1,16,30,0.1,dbscan,ms15_eps0.62,4.1,True,23,0.0056,0.0601,0.0598,16599
d16_nn030_md0p1,16,30,0.1,hdbscan,mcs15,4.1,True,172,0.3679,0.2086,0.1318,10551
