Package                                    Size MiB  Build Seconds  Build Time
media-libs/freetype                               2              0  -
media-libs/libjpeg-turbo                          2              0  -
media-libs/openal                                 2              0  -
media-libs/x264                                   2              0  -
media-video/wireplumber                           2              0  -
net-firewall/iptables                             2              0  -
net-misc/curl                                     2              0  -
net-wireless/iwd                                  2              0  -
sys-apps/diffutils                                2              0  -
sys-apps/findutils                                2              0  -
sys-apps/man-db                                   2              0  -
sys-apps/openrc                                   2              0  -
sys-apps/qdirstat                                 2              0  -
sys-devel/bison                                   2              0  -
sys-libs/readline                                 2              0  -
sys-libs/slang                                    2              0  -
sys-process/btop                                  2              0  -
www-client/w3m                                    2              0  -
x11-libs/cairo                                    2              0  -
x11-libs/libX11                                   2              0  -
x11-libs/pango                                    2              0  -
x11-terms/xterm                                   2              0  -
x11-themes/adwaita-icon-theme-legacy              2              0  -
app-arch/brotli                                   1              0  -
app-arch/cpio                                     1              0  -
app-arch/libarchive                               1              0  -
app-arch/xz-utils                                 1              0  -
app-arch/zstd                                     1              0  -
app-crypt/argon2                                  1              0  -
app-crypt/gpgme                                   1              0  -
app-i18n/gnulib-l10n                              1              0  -
app-misc/fastfetch                                1              0  -
app-misc/tmate                                    1              0  -
app-misc/tmux                                     1              0  -
app-pda/libimobiledevice                          1              0  -
app-portage/gemato                                1              0  -
app-text/lowdown                                  1              0  -
dev-build/bmake                                   1              0  -
dev-lang/lua                                      1              0  -
dev-libs/boehm-gc                                 1              0  -
dev-libs/ell                                      1              0  -
dev-libs/expat                                    1              0  -
dev-libs/libatomic_ops                            1              0  -
dev-libs/libevent                                 1              0  -
dev-libs/libgpg-error                             1              0  -
dev-libs/libnl                                    1              0  -
dev-libs/libxslt                                  1              0  -
dev-libs/mpfr                                     1              0  -
dev-libs/nettle                                   1              0  -
dev-libs/nspr                                     1              0  -
dev-libs/oniguruma                                1              0  -
dev-libs/yyjson                                   1              0  -
dev-lisp/asdf                                     1              0  -
dev-perl/IO-Socket-SSL                            1              0  -
dev-perl/Net-SSLeay                               1              0  -
dev-python/charset-normalizer                     1              0  -
dev-python/hatchling                              1              0  -
dev-python/idna                                   1              0  -
dev-python/installer                              1              0  -
dev-python/mako                                   1              0  -
dev-python/more-itertools                         1              0  -
dev-python/packaging                              1              0  -
dev-python/psutil                                 1              0  -
