key,d,nn,md,method,param,umap_secs,accepted,n_clusters,noise_ratio,silhouette,adjusted,n_scored
d02_nn015_md0p0,2,15,0.0,dbscan,ms15_eps0.34,1.6,True,31,0.0072,0.042,0.0417,12478
d02_nn015_md0p0,2,15,0.0,hdbscan,mcs15,1.6,True,160,0.2381,0.1432,0.1091,9576
d02_nn015_md0p1,2,15,0.1,dbscan,ms15_eps0.34,1.3,True,33,0.0091,0.0285,0.0283,12454
d02_nn015_md0p1,2,15,0.1,hdbscan,mcs15,1.3,True,162,0.2771,0.1533,0.1108,9086
d02_nn030_md0p0,2,30,0.0,dbscan,ms15_eps0.34,1.3,True,19,0.0043,0.0588,0.0586,12515
d02_nn030_md0p0,2,30,0.0,hdbscan,mcs15,1.3,True,132,0.2385,0.1421,0.1082,9571
d02_nn030_md0p1,2,30,0.1,dbscan,ms15_eps0.34,1.5,True,17,0.0051,0.0689,0.0686,12505
d02_nn030_md0p1,2,30,0.1,hdbscan,mcs15,1.5,True,138,0.2996,0.1593,0.1115,8803
d04_nn015_md0p0,4,15,0.0,dbscan,ms15_eps0.38,1.3,True,45,0.0312,0.0466,0.0451,12177
d04_nn015_md0p0,4,15,0.0,hdbscan,mcs15,1.3,True,169,0.2755,0.168,0.1217,9106
d04_nn015_md0p1,4,15,0.1,dbscan,ms15_eps0.38,1.4,True,54,0.0473,0.0556,0.053,11975
d04_nn015_md0p1,4,15,0.1,hdbscan,mcs15,1.4,True,163,0.3228,0.1806,0.1223,8512
d04_nn030_md0p0,4,30,0.0,dbscan,ms15_eps0.38,2.0,True,23,0.0196,0.0411,0.0403,12323
d04_nn030_md0p0,4,30,0.0,hdbscan,mcs15,2.0,True,140,0.2679,0.1636,0.1198,9202
d04_nn030_md0p1,4,30,0.1,dbscan,ms15_eps0.38,1.7,True,24,0.033,0.0535,0.0518,12154
d04_nn030_md0p1,4,30,0.1,hdbscan,mcs15,1.7,True,131,0.2956,0.175,0.1233,8853
d08_nn015_md0p0,8,15,0.0,dbscan,ms15_eps0.46,1.8,True,31,0.0213,0.0431,0.0422,12301
d08_nn015_md0p0,8,15,0.0,hdbscan,mcs15,1.8,True,165,0.2571,0.1609,0.1196,9338
d08_nn015_md0p1,8,15,0.1,dbscan,ms15_eps0.46,1.9,True,31,0.0302,0.0362,0.0351,12189
d08_nn015_md0p1,8,15,0.1,hdbscan,mcs15,1.9,True,147,0.2819,0.1613,0.1159,9026
d08_nn030_md0p0,8,30,0.0,dbscan,ms15_eps0.46,2.4,True,16,0.0136,0.0576,0.0568,12398
d08_nn030_md0p0,8,30,0.0,hdbscan,mcs15,2.4,True,134,0.2609,0.1663,0.1229,9290
d08_nn030_md0p1,8,30,0.1,dbscan,ms15_eps0.46,1.7,True,17,0.0189,0.0535,0.0525,12331
d08_nn030_md0p1,8,30,0.1,hdbscan,mcs15,1.7,True,132,0.305,0.1779,0.1236,8735
d12_nn015_md0p0,12,15,0.0,dbscan,ms15_eps0.54,2.4,True,25,0.0136,0.048,0.0473,12398
d12_nn015_md0p0,12,15,0.0,hdbscan,mcs15,2.4,True,157,0.2481,0.1596,0.12,9451
d12_nn015_md0p1,12,15,0.1,dbscan,ms15_eps0.54,2.2,True,26,0.0183,0.0463,0.0454,12339
d12_nn015_md0p1,12,15,0.1,hdbscan,mcs15,2.2,True,156,0.2938,0.1688,0.1192,8876
d12_nn030_md0p0,12,30,0.0,dbscan,ms15_eps0.54,2.2,True,15,0.0083,0.0726,0.072,12465
d12_nn030_md0p0,12,30,0.0,hdbscan,mcs15,2.2,True,137,0.2777,0.1716,0.124,9078
d12_nn030_md0p1,12,30,0.1,dbscan,ms15_eps0.54,1.9,True,14,0.0127,0.076,0.075,12410
d12_nn030_md0p1,12,30,0.1,hdbscan,mcs15,1.9,True,125,0.3057,0.1756,0.1219,8727
d16_nn015_md0p0,16,15,0.0,dbscan,ms15_eps0.62,1.6,True,25,0.0064,0.0496,0.0493,12489
d16_nn015_md0p0,16,15,0.0,hdbscan,mcs15,1.6,True,156,0.2558,0.082,0.0611,9354
d16_nn015_md0p1,16,15,0.1,dbscan,ms15_eps0.62,1.6,True,20,0.0154,0.052,0.0512,12376
d16_nn015_md0p1,16,15,0.1,hdbscan,mcs15,1.6,True,148,0.275,0.1656,0.12,9112
d16_nn030_md0p0,16,30,0.0,dbscan,ms15_eps0.62,1.7,True,15,0.0056,0.073,0.0726,12499
d16_nn030_md0p0,16,30,0.0,hdbscan,mcs15,1.7,True,136,0.2674,0.166,0.1216,9208
d16_nn030_md0p1,16,30,0.1,dbscan,ms15_eps0.62,2.6,True,13,0.0069,0.0803,0.0797,12482
d16_nn030_md0p1,16,30,0.1,hdbscan,mcs15,2.6,True,130,0.3037,0.1737,0.1209,8752
